2025-01-12 13:28:33 IST | Connectivity: true | Upload: 816.77 Mbps | Download: 1.55 Mbps
2025-01-12 13:28:41 IST | Connectivity: true | Upload: 0.96 Mbps | Download: 273.75 Mbps
2025-01-12 13:28:47 IST | Connectivity: true | Upload: 0.28 Mbps | Download: 2356.16 Mbps
2025-01-12 13:28:51 IST | Connectivity: true | Upload: 0.78 Mbps | Download: 482.88 Mbps
2025-01-12 13:28:57 IST | Connectivity: true | Upload: 0.48 Mbps | Download: 0.00 Mbps
2025-01-12 13:29:00 IST | Connectivity: true | Upload: 684.02 Mbps | Download: 37.94 Mbps
2025-01-12 13:29:06 IST | Connectivity: true | Upload: 0.15 Mbps | Download: 4946.55 Mbps
2025-01-12 13:29:17 IST | Connectivity: true | Upload: 0.00 Mbps | Download: 35.73 Mbps
2025-01-12 13:30:05 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 1.68 Mbps
2025-01-12 13:30:25 IST | Connectivity: true | Upload: 137.28 Mbps | Download: 5.03 Mbps
2025-01-12 13:31:05 IST | Connectivity: true | Upload: 121.75 Mbps | Download: 0.92 Mbps
2025-01-12 13:31:25 IST | Connectivity: true | Upload: 121.75 Mbps | Download: 6.02 Mbps
2025-01-12 13:32:05 IST | Connectivity: true | Upload: 153.98 Mbps | Download: 0.92 Mbps
2025-01-12 13:32:25 IST | Connectivity: true | Upload: 153.98 Mbps | Download: 4.29 Mbps
2025-01-12 13:33:05 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 3.11 Mbps
2025-01-12 13:33:25 IST | Connectivity: true | Upload: 5.03 Mbps | Download: 33.65 Mbps
2025-01-12 13:34:05 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 0.94 Mbps
2025-01-12 13:34:25 IST | Connectivity: true | Upload: 186.10 Mbps | Download: 3.24 Mbps
2025-01-12 13:35:05 IST | Connectivity: true | Upload: 0.48 Mbps | Download: 0.92 Mbps
2025-01-12 13:35:25 IST | Connectivity: true | Upload: 9.74 Mbps | Download: 17.05 Mbps
2025-01-12 13:36:05 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 1.85 Mbps
2025-01-12 13:36:25 IST | Connectivity: true | Upload: 0.63 Mbps | Download: 0.92 Mbps
2025-01-12 13:37:05 IST | Connectivity: true | Upload: 121.75 Mbps | Download: 0.92 Mbps
2025-01-12 13:37:26 IST | Connectivity: true | Upload: 22.11 Mbps | Download: 10.55 Mbps
2025-01-12 13:38:06 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 0.92 Mbps
2025-01-12 13:38:26 IST | Connectivity: true | Upload: 141.17 Mbps | Download: 4.83 Mbps
2025-01-12 13:39:05 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 0.92 Mbps
2025-01-12 13:39:25 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 0.92 Mbps
2025-01-12 13:40:26 IST | Connectivity: true | Upload: 0.01 Mbps | Download: 0.02 Mbps
2025-01-12 13:40:27 IST | Connectivity: true | Upload: 0.01 Mbps | Download: 0.01 Mbps
2025-01-12 13:41:26 IST | Connectivity: true | Upload: 0.83 Mbps | Download: 1.08 Mbps
2025-01-12 13:41:06 IST | Connectivity: true | Upload: 0.83 Mbps | Download: 1.08 Mbps
2025-01-12 13:43:26 IST | Connectivity: true | Upload: 0.00 Mbps | Download: 0.00 Mbps
2025-01-12 13:43:05 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 0.92 Mbps
2025-01-12 13:42:27 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 0.00 Mbps
2025-01-12 13:42:26 IST | Connectivity: true | Upload: 0.44 Mbps | Download: 0.00 Mbps
